"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","50.8","","","","1"
"2016-03","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","50.7","","","","1"
"2016-04","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","53.2","","","","1"
"2016-05","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","53.3","","","","1"
"2016-06","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","52.1","","","","1"
"2016-07","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","50.6","","","","1"
"2016-08","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","51.4","","","","1"
"2016-09","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","51.0","","","","1"
"2016-10","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","48.4","","","","1"
"2016-11","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","50.3","","","","1"
"2016-12","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.2","","","","1"
"2017-01","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.5","","","","1"
"2017-02","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.3","","","","1"
"2017-03","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","45.4","","","","1"
"2017-04","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.3","","","","1"
"2017-05","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.4","","","","1"
"2017-06","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","47.6","","","","1"
"2017-07","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.3","","","","1"
"2017-08","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.6","","","","1"
"2017-09","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","47.2","","","","1"
"2017-10","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","48.5","","","","1"
"2017-11","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","47.4","","","","1"
"2017-12","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","47.9","","","","1"
