"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.9","","","","1"
"2016-03","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.9","","","","1"
"2016-04","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.9","","","","1"
"2016-05","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.8","","","","1"
"2016-06","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.8","","","","1"
"2016-07","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.7","","","","1"
"2016-08","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.6","","","","1"
"2016-09","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.5","","","","1"
"2016-10","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.4","","","","1"
"2016-11","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.3","","","","1"
"2016-12","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.2","","","","1"
"2017-01","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.2","","","","1"
"2017-02","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.2","","","","1"
"2017-03","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.1","","","","1"
"2017-04","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.1","","","","1"
"2017-05","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.0","","","","1"
"2017-06","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","102.0","","","","1"
"2017-07","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","101.9","","","","1"
"2017-08","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","101.7","","","","1"
"2017-09","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","101.5","","","","1"
"2017-10","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","101.3","","","","1"
"2017-11","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","101.0","","","","1"
"2017-12","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","100.9","","","","1"
"2018-01","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","100.7","","","","1"
"2018-02","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","100.5","","","","1"
